Record_ID,Timestamp,Flight_ID,Cargo_Volume,Cargo_Type,Shipment_Priority,Arrival_Departure,Terminal_ID,Gate_Assigned,Handling_Time,Waiting_Time,Workforce_Assigned,Equipment_Used,Equipment_Type,Facility_Utilization,Storage_Occupancy,Queue_Length,Flight_Delay,Peak_Hour_Indicator,Weather_Condition,Operational_Cost,Energy_Consumption,Throughput_Rate,Bottleneck_Flag,Demand_Forecast,Real_Time_Load,Allocation_Strategy,Allocation_Efficiency_Class
452,2024-06-19 18:04:00,FL2022,69.22,Express,Low,Arrival,T4,20,39.04,112.57,12,7,Forklift,78.64,64.52,53,59.56,0,Clear,2527.63,767.96,88.15,1,120.54,23.7,Baseline,Low Efficiency
453,2024-07-16 20:33:00,FL7271,53.79,Hazardous,High,Arrival,T4,33,85.52,100.38,31,3,Forklift,43.87,54.57,35,40.2,0,Storm,2808.69,594.83,102.55,1,98.42,29.66,Baseline,Low Efficiency
454,2024-09-01 13:21:00,FL7366,109.23,Perishable,Low,Departure,T2,29,94.55,88.67,41,9,Conveyor,60.54,85.79,47,17.22,0,Rain,4644.6,1479.32,37.32,0,31.18,27.81,Optimized,Low Efficiency
455,2024-08-20 19:19:00,FL6450,17.79,Perishable,Critical,Departure,T2,16,47.28,22.26,45,5,Conveyor,97.09,33.53,50,2.26,0,Fog,1422.05,855.43,86.78,1,35.64,15.9,Optimized,Moderate Efficiency
456,2024-02-28 16:11:00,FL1984,61.65,Perishable,Medium,Arrival,T4,14,26.65,45.13,25,11,Loader,43.05,97.08,10,58.67,1,Rain,2589.38,1417.67,15.92,0,111.13,43.15,Optimized,Low Efficiency
457,2024-04-10 18:15:00,FL5230,6.31,Hazardous,High,Departure,T1,7,86.25,70.01,39,9,Forklift,50.49,53.8,28,42.99,1,Rain,4036.94,627.55,62.58,0,112.29,13.15,Adaptive,Low Efficiency
458,2024-04-19 19:57:00,FL5336,58.9,Perishable,High,Departure,T4,6,141.52,13.84,48,1,Forklift,98.26,74.07,37,86.9,1,Rain,1423.25,480.93,114.71,0,62.27,108.49,Baseline,Moderate Efficiency
459,2024-06-17 09:35:00,FL3915,11.47,General,Low,Departure,T3,21,159.87,17.22,43,10,Crane,42.39,77.98,41,8.85,1,Fog,870.72,503.79,69.19,0,149.23,96.28,Adaptive,Low Efficiency
460,2024-10-05 22:01:00,FL8218,18.66,Perishable,Low,Departure,T3,36,35.61,112.44,19,12,Crane,66.8,39.6,97,6.54,1,Rain,579.94,991.24,55.19,0,106.8,34.11,Optimized,Low Efficiency
461,2024-04-21 06:27:00,FL2137,18.52,Perishable,Critical,Arrival,T3,22,103.95,85.81,16,14,Crane,95.1,87.6,61,16.32,0,Storm,966.8,945.62,10.64,0,135.23,130.7,Baseline,Low Efficiency
462,2024-06-04 19:05:00,FL9056,79.66,Hazardous,Medium,Departure,T3,40,62.14,36.64,38,8,Crane,96.62,70.05,51,33.92,0,Fog,1735.66,875.04,38.15,1,16.48,49.99,Optimized,Low Efficiency
463,2024-02-16 18:28:00,FL4287,90.8,Perishable,Low,Arrival,T4,19,79.94,42.65,12,2,Conveyor,98.76,52.96,8,15.77,1,Clear,2341.65,364.7,57.13,0,97.3,84.99,Baseline,Low Efficiency
464,2024-10-29 02:20:00,FL7432,72.09,Express,Medium,Arrival,T3,25,169.35,49.21,41,14,Crane,68.88,89.55,58,41.75,0,Clear,3171.98,468.82,51.52,0,114.93,123.54,Optimized,Low Efficiency
465,2024-10-23 19:18:00,FL3923,115.65,General,Medium,Departure,T1,3,76.33,13.63,34,8,Forklift,45.19,73.76,61,30.57,1,Clear,1400.41,504.76,58.29,0,121.63,61.68,Adaptive,Low Efficiency
466,2024-08-28 22:34:00,FL9061,48.11,Hazardous,Low,Arrival,T4,36,78.46,90.01,7,4,Loader,86.36,85.0,33,89.95,0,Clear,1713.63,1312.73,12.6,0,104.14,45.15,Adaptive,Low Efficiency
467,2024-12-05 06:37:00,FL2776,37.86,General,Low,Departure,T3,45,53.5,25.34,34,2,Loader,82.54,99.46,19,87.0,0,Rain,3645.86,1244.27,68.44,1,94.83,130.49,Baseline,Moderate Efficiency
468,2024-10-29 18:10:00,FL3357,104.89,Express,Low,Arrival,T4,34,173.6,97.59,33,13,Loader,74.78,39.12,30,32.83,1,Rain,4590.54,387.04,37.65,1,114.46,20.37,Optimized,Low Efficiency
469,2024-02-15 08:10:00,FL9857,30.71,Hazardous,Medium,Arrival,T4,11,93.04,102.28,5,2,Conveyor,93.29,82.47,78,71.29,1,Clear,1109.82,305.0,54.07,0,15.39,101.06,Optimized,Low Efficiency
470,2024-05-30 14:41:00,FL8065,115.77,Hazardous,Critical,Departure,T4,48,111.26,78.42,20,13,Loader,94.69,83.04,14,21.75,0,Fog,2626.32,243.0,107.51,0,115.19,127.41,Optimized,Low Efficiency
471,2024-11-01 22:32:00,FL4578,6.4,Perishable,Critical,Departure,T2,42,92.51,93.53,46,6,Conveyor,80.99,91.23,36,5.2,1,Rain,1829.38,194.69,101.09,1,56.14,109.43,Adaptive,Low Efficiency
472,2024-10-10 14:36:00,FL2740,116.54,General,High,Arrival,T3,47,60.47,24.76,35,3,Conveyor,46.73,58.56,7,3.64,0,Rain,2875.87,1478.47,53.78,0,116.54,62.39,Baseline,Low Efficiency
473,2024-01-15 05:20:00,FL8234,9.96,Express,Low,Departure,T2,27,149.67,71.23,14,11,Loader,45.73,90.88,34,2.63,0,Fog,1036.09,1235.81,15.95,0,118.79,143.11,Baseline,Low Efficiency
474,2024-10-03 23:38:00,FL5243,107.48,Express,Critical,Arrival,T1,42,24.56,82.83,34,14,Conveyor,64.52,74.79,50,66.23,1,Fog,1719.68,123.7,107.78,1,48.72,29.02,Optimized,Moderate Efficiency
475,2024-12-13 07:49:00,FL2692,65.69,Hazardous,Medium,Departure,T1,2,130.44,81.08,47,14,Crane,57.56,34.81,32,30.8,1,Storm,3689.88,109.28,53.89,0,110.12,109.61,Optimized,Low Efficiency
476,2024-01-05 07:02:00,FL1571,119.19,Perishable,Low,Arrival,T2,6,115.08,18.49,30,10,Crane,47.98,32.21,42,74.15,0,Fog,4186.89,1065.89,62.75,1,56.05,110.53,Optimized,Low Efficiency
477,2024-09-13 03:25:00,FL2194,13.49,Hazardous,Critical,Arrival,T3,46,43.08,44.6,16,3,Crane,76.67,63.7,33,78.65,0,Clear,3297.4,535.78,19.43,0,111.47,95.73,Baseline,Low Efficiency
478,2024-08-05 10:38:00,FL2153,68.69,Hazardous,High,Arrival,T4,2,46.54,42.38,44,9,Conveyor,81.01,85.01,14,27.5,0,Clear,4750.07,238.53,86.18,0,36.58,77.99,Baseline,Moderate Efficiency
479,2024-10-10 23:30:00,FL5105,116.47,Hazardous,High,Arrival,T1,42,125.48,70.84,9,5,Crane,81.88,56.9,89,26.02,0,Fog,3438.05,749.62,88.33,0,20.87,143.32,Adaptive,Low Efficiency
480,2024-11-01 02:55:00,FL8305,65.16,Hazardous,High,Arrival,T1,17,69.94,93.0,13,14,Loader,50.52,89.63,28,27.71,1,Storm,3859.67,126.37,54.95,0,92.35,75.29,Baseline,Low Efficiency
481,2024-06-09 14:11:00,FL1307,77.38,Express,Low,Departure,T1,40,62.52,70.62,15,7,Loader,58.35,64.45,39,42.79,1,Storm,2108.42,694.83,107.78,0,37.03,56.63,Baseline,Low Efficiency
482,2024-12-21 12:25:00,FL9154,85.01,Express,Low,Arrival,T3,48,29.46,91.81,27,12,Conveyor,51.94,31.84,94,1.44,1,Clear,1264.41,432.61,15.35,0,135.25,82.09,Adaptive,Low Efficiency
483,2024-06-08 18:40:00,FL3438,57.27,Hazardous,High,Departure,T2,14,142.64,16.38,21,5,Conveyor,76.08,98.16,31,0.98,1,Clear,3460.45,470.83,43.83,1,32.16,122.13,Baseline,Low Efficiency
484,2024-07-17 17:53:00,FL1014,77.17,Hazardous,Low,Departure,T2,10,161.23,105.99,47,2,Crane,74.02,64.27,24,66.19,1,Fog,4635.89,500.72,32.75,0,94.99,32.82,Baseline,Low Efficiency
485,2024-11-13 08:47:00,FL1619,72.2,Perishable,Medium,Arrival,T3,45,151.18,66.71,17,11,Forklift,70.2,75.51,4,72.74,1,Rain,4918.55,530.78,86.77,0,107.61,61.87,Optimized,Low Efficiency
486,2024-12-19 15:12:00,FL7397,108.63,Hazardous,High,Arrival,T1,33,94.57,9.31,21,11,Loader,57.76,43.95,78,18.37,0,Storm,2525.21,128.06,32.51,0,10.35,89.19,Adaptive,Low Efficiency
487,2024-01-22 03:14:00,FL5365,10.23,Express,High,Departure,T3,42,105.43,78.97,27,8,Forklift,54.22,50.81,9,53.45,0,Clear,2928.68,898.29,87.3,1,131.73,128.03,Optimized,Low Efficiency
488,2024-10-10 03:46:00,FL3483,37.31,General,Medium,Arrival,T3,12,58.76,64.49,43,9,Crane,93.42,63.9,70,19.44,1,Fog,1900.47,867.05,97.62,0,111.74,66.05,Adaptive,Moderate Efficiency
489,2024-09-01 18:17:00,FL6403,114.3,Express,High,Arrival,T2,32,47.66,30.34,13,11,Conveyor,42.93,89.93,24,66.08,0,Fog,3526.32,1011.13,96.16,1,117.73,87.07,Adaptive,Low Efficiency
490,2024-10-21 09:56:00,FL7411,107.38,Perishable,High,Departure,T3,49,151.68,92.91,22,2,Crane,79.38,37.14,90,37.85,1,Fog,3943.49,323.88,13.09,0,17.88,27.15,Baseline,Low Efficiency
491,2024-04-30 04:21:00,FL1060,57.4,Express,High,Departure,T3,24,147.74,112.36,22,2,Forklift,41.17,84.62,98,74.05,1,Storm,685.38,1492.74,112.36,0,59.29,23.18,Optimized,Low Efficiency
492,2024-12-06 08:14:00,FL9444,76.32,General,Low,Departure,T1,14,144.38,42.11,34,4,Crane,51.63,70.55,65,85.37,1,Rain,4309.83,290.15,88.61,0,99.92,39.88,Adaptive,Low Efficiency
493,2024-04-02 22:27:00,FL9039,36.9,Hazardous,Low,Departure,T4,5,94.14,61.8,46,13,Conveyor,57.37,64.98,87,49.99,0,Fog,2812.09,1236.18,99.41,0,42.05,105.99,Adaptive,Low Efficiency
494,2024-01-20 15:16:00,FL8833,26.63,General,Medium,Departure,T1,5,158.32,19.74,48,8,Forklift,93.19,91.36,17,81.06,1,Fog,3108.72,408.5,81.03,0,126.48,39.7,Adaptive,Low Efficiency
495,2024-10-13 22:00:00,FL8144,58.33,Hazardous,Low,Departure,T2,47,168.2,111.93,30,5,Crane,48.26,38.27,37,3.04,1,Rain,1428.02,714.65,68.2,0,67.16,132.83,Adaptive,Low Efficiency
496,2024-01-20 17:38:00,FL7617,45.64,Hazardous,Low,Arrival,T4,32,72.54,41.66,22,5,Conveyor,96.27,99.35,50,41.64,0,Fog,546.35,553.88,80.91,0,122.15,135.82,Baseline,Moderate Efficiency
497,2024-03-02 03:05:00,FL2148,72.12,Express,Low,Departure,T1,45,55.95,27.4,25,7,Crane,88.93,89.82,45,45.31,0,Clear,4784.91,530.79,49.61,0,132.66,47.17,Baseline,Low Efficiency
498,2024-11-08 02:33:00,FL9849,13.94,Express,Medium,Departure,T3,49,94.28,60.02,45,12,Crane,80.74,52.8,20,37.42,0,Storm,4677.8,781.12,60.36,0,76.57,24.74,Adaptive,Low Efficiency
499,2024-04-08 19:31:00,FL4700,117.06,Express,Critical,Arrival,T3,33,48.69,9.98,45,4,Conveyor,64.7,61.61,59,28.34,1,Rain,3984.53,435.48,88.37,0,41.81,67.58,Optimized,Moderate Efficiency
500,2024-12-02 04:45:00,FL1054,118.41,Perishable,Low,Arrival,T4,46,161.44,34.08,46,12,Conveyor,94.32,31.75,59,65.07,1,Rain,2631.19,865.6,83.44,0,63.35,121.12,Optimized,Low Efficiency
501,2024-05-12 07:56:00,FL7298,85.29,Express,High,Arrival,T4,4,74.08,12.78,37,9,Crane,71.68,66.93,90,49.74,1,Storm,1929.29,450.96,75.29,0,79.92,25.1,Adaptive,Low Efficiency
502,2024-02-06 14:47:00,FL8898,66.65,Perishable,High,Arrival,T3,30,112.19,19.65,47,4,Loader,62.27,68.34,11,7.42,0,Fog,1202.35,1462.08,15.41,0,73.74,23.89,Adaptive,Low Efficiency
503,2024-07-08 10:33:00,FL2985,40.6,Express,Low,Arrival,T2,41,115.16,17.9,18,8,Crane,75.14,94.86,55,85.56,0,Storm,864.14,435.17,41.66,0,10.65,44.26,Baseline,Low Efficiency
504,2024-10-03 01:19:00,FL9770,98.59,Hazardous,Critical,Arrival,T1,17,102.4,105.33,14,3,Conveyor,53.94,57.15,84,79.88,0,Clear,2557.87,1170.47,76.38,1,21.83,106.98,Optimized,Low Efficiency
505,2024-08-26 08:54:00,FL6880,83.74,Perishable,Medium,Departure,T3,3,45.04,112.0,32,6,Loader,56.37,69.94,65,31.81,1,Rain,4065.11,757.6,61.0,1,73.88,62.41,Optimized,Low Efficiency
506,2024-06-03 03:01:00,FL6463,23.7,General,Medium,Arrival,T1,13,178.56,59.57,18,1,Conveyor,95.16,81.84,77,22.16,0,Fog,3766.65,153.09,47.19,0,71.16,113.14,Optimized,Low Efficiency
507,2024-11-27 02:26:00,FL5961,109.76,Perishable,High,Arrival,T1,44,47.62,77.5,23,7,Crane,87.64,72.6,58,56.56,0,Fog,3901.7,313.78,88.87,0,134.61,66.67,Baseline,Moderate Efficiency
508,2024-08-26 00:02:00,FL7563,99.59,Perishable,Low,Arrival,T1,48,140.24,85.03,30,11,Forklift,70.81,40.93,44,3.9,0,Storm,1033.93,1399.99,52.57,0,48.74,21.07,Adaptive,Low Efficiency
509,2024-09-02 18:14:00,FL1904,114.23,General,High,Arrival,T1,36,146.62,50.0,14,7,Conveyor,64.99,42.03,77,44.64,0,Rain,4382.37,1248.4,109.93,0,146.83,149.8,Baseline,Low Efficiency
510,2024-10-03 01:42:00,FL2485,88.46,Perishable,Low,Departure,T2,18,43.23,47.57,21,13,Conveyor,88.45,39.68,14,60.54,0,Storm,4117.88,301.81,68.49,0,146.15,105.35,Adaptive,Moderate Efficiency
511,2024-07-21 14:53:00,FL6985,75.54,Hazardous,High,Arrival,T2,23,169.31,82.69,38,2,Forklift,74.24,45.24,76,36.6,1,Rain,923.4,171.47,63.19,0,36.38,98.38,Optimized,Low Efficiency
512,2024-11-02 23:22:00,FL9759,53.1,Express,Medium,Arrival,T2,35,98.04,48.32,18,5,Conveyor,64.9,52.98,52,87.51,0,Storm,2104.4,313.79,47.09,0,13.43,79.1,Adaptive,Low Efficiency
513,2024-07-02 16:45:00,FL6571,112.26,General,High,Departure,T3,49,120.62,71.82,30,4,Conveyor,70.93,81.78,34,64.7,0,Fog,2188.51,917.5,24.77,0,37.69,21.64,Optimized,Low Efficiency
514,2024-02-29 15:24:00,FL2318,104.6,Express,Low,Departure,T3,33,122.75,64.25,38,10,Conveyor,53.96,34.26,63,84.07,1,Storm,3808.0,987.0,11.06,0,68.72,147.93,Adaptive,Low Efficiency
515,2024-12-08 11:12:00,FL8530,10.2,Hazardous,High,Departure,T3,36,100.79,65.31,23,13,Forklift,52.12,87.43,27,81.71,0,Rain,4372.18,630.48,84.46,1,61.44,75.21,Adaptive,Low Efficiency
516,2024-01-15 02:44:00,FL5750,8.03,General,High,Arrival,T2,17,42.72,100.38,28,9,Crane,99.35,48.37,12,11.85,0,Clear,2190.77,493.24,17.19,0,76.3,15.79,Adaptive,Low Efficiency
517,2024-02-07 22:15:00,FL4327,48.29,Express,Medium,Departure,T1,39,140.28,85.97,35,12,Conveyor,98.18,72.94,38,60.18,0,Storm,1088.77,389.67,45.75,1,106.86,58.06,Baseline,Low Efficiency
518,2024-09-11 20:00:00,FL3893,98.21,Express,High,Departure,T2,34,113.09,115.48,44,13,Loader,65.25,68.69,56,53.7,0,Clear,871.53,714.42,106.32,0,82.53,14.61,Optimized,Low Efficiency
519,2024-06-12 06:33:00,FL1644,118.54,Hazardous,Medium,Departure,T3,12,38.99,95.96,10,2,Crane,70.92,40.78,65,4.93,1,Fog,3374.79,131.59,62.59,0,58.27,80.95,Baseline,Low Efficiency
520,2024-02-19 23:11:00,FL7294,22.3,Express,Critical,Arrival,T4,5,132.05,21.77,24,3,Crane,89.63,50.11,90,28.61,0,Storm,2740.9,112.19,107.17,0,104.6,115.57,Adaptive,Low Efficiency
521,2024-01-30 07:33:00,FL4129,73.33,Hazardous,Medium,Arrival,T3,48,132.44,89.93,43,13,Loader,83.55,50.71,40,48.11,0,Clear,4559.22,1216.87,16.77,0,56.79,144.02,Optimized,Low Efficiency
522,2024-01-23 14:17:00,FL5896,48.8,Perishable,High,Departure,T1,40,107.76,81.55,49,1,Loader,45.97,73.67,21,49.33,0,Storm,4790.88,842.5,102.77,0,59.37,128.07,Optimized,Low Efficiency
523,2024-06-29 01:35:00,FL7391,116.54,Hazardous,High,Arrival,T2,27,34.49,79.3,38,10,Loader,62.48,85.2,32,73.27,0,Storm,4541.26,1193.7,112.46,0,58.05,47.96,Baseline,Moderate Efficiency
524,2024-05-25 04:04:00,FL2749,101.84,Perishable,Medium,Arrival,T4,40,76.42,60.29,26,5,Forklift,55.01,99.74,89,52.89,1,Fog,840.35,259.5,110.5,1,52.56,58.59,Optimized,Low Efficiency
525,2024-01-15 20:09:00,FL6886,101.41,General,Low,Arrival,T4,13,28.15,12.18,11,3,Conveyor,99.56,36.71,12,41.99,0,Rain,1779.19,1241.47,47.02,0,108.07,82.76,Optimized,Moderate Efficiency
526,2024-04-20 23:04:00,FL8970,58.9,Express,Medium,Arrival,T1,26,96.42,114.42,37,12,Crane,84.92,95.71,89,67.68,0,Rain,1574.63,1391.83,20.46,0,34.5,105.9,Adaptive,Low Efficiency
527,2024-06-22 16:52:00,FL2390,52.7,Hazardous,High,Arrival,T2,14,165.03,102.97,10,4,Loader,42.87,69.31,26,51.38,0,Storm,808.98,846.72,110.66,1,118.41,113.09,Adaptive,Low Efficiency
528,2024-04-01 21:52:00,FL8175,36.44,Hazardous,Low,Departure,T4,32,20.36,60.98,20,4,Conveyor,94.0,54.97,36,79.54,0,Fog,4632.23,247.61,27.31,1,139.16,128.94,Adaptive,Low Efficiency
529,2024-12-10 20:04:00,FL4104,11.48,Express,Medium,Departure,T3,11,62.66,23.24,12,6,Conveyor,95.68,49.92,16,81.49,1,Storm,4526.54,272.55,70.06,0,48.68,41.45,Baseline,Moderate Efficiency
530,2024-03-24 07:06:00,FL3292,104.44,Express,High,Departure,T1,38,147.98,99.81,49,10,Forklift,60.0,44.63,78,54.39,0,Fog,2258.45,371.86,54.82,0,108.57,25.64,Baseline,Low Efficiency
531,2024-06-07 17:12:00,FL1584,98.48,General,Medium,Departure,T4,16,21.58,54.53,27,7,Crane,78.52,69.0,34,50.79,0,Rain,4814.19,359.36,115.36,0,94.56,34.86,Adaptive,Moderate Efficiency
532,2024-12-04 15:03:00,FL4163,119.97,General,High,Arrival,T1,22,21.63,49.86,22,7,Conveyor,80.92,96.22,24,63.12,0,Fog,3035.06,1422.82,55.75,0,51.93,142.07,Adaptive,Moderate Efficiency
533,2024-07-05 14:10:00,FL1415,119.61,Hazardous,Low,Departure,T2,47,117.73,81.52,18,14,Loader,83.77,42.75,72,65.3,1,Storm,2453.14,1220.41,50.73,0,43.09,28.53,Adaptive,Low Efficiency
534,2024-09-25 14:54:00,FL4907,68.87,General,Low,Departure,T2,16,146.27,92.25,40,11,Loader,81.61,60.53,91,65.45,0,Clear,2973.43,545.4,74.55,1,142.14,54.65,Baseline,Low Efficiency
535,2024-05-02 04:19:00,FL9015,93.43,Perishable,High,Arrival,T2,13,144.24,12.23,19,8,Forklift,73.58,44.27,39,55.86,1,Clear,2399.25,1243.21,68.05,0,107.6,37.41,Adaptive,Low Efficiency
536,2024-03-24 09:36:00,FL7369,113.65,General,Low,Arrival,T3,12,144.73,93.27,9,3,Loader,97.23,42.29,64,68.65,0,Storm,1813.49,1180.99,59.73,0,100.25,25.5,Optimized,Low Efficiency
537,2024-04-29 06:00:00,FL2032,102.71,General,Low,Arrival,T4,18,77.76,89.4,19,5,Loader,70.74,90.67,77,12.97,0,Clear,1314.96,597.37,65.28,0,149.57,83.75,Baseline,Low Efficiency
538,2024-08-14 11:47:00,FL9856,33.45,Hazardous,Critical,Arrival,T2,29,161.24,72.76,15,12,Forklift,46.65,48.34,29,73.93,0,Storm,2572.81,141.98,20.83,0,59.47,63.12,Adaptive,Low Efficiency
539,2024-03-19 17:09:00,FL6041,56.81,Perishable,Medium,Departure,T3,18,22.05,43.92,6,10,Forklift,44.83,47.36,31,27.94,0,Storm,2888.5,112.24,112.84,1,42.03,111.72,Adaptive,Moderate Efficiency
540,2024-01-19 16:45:00,FL9186,19.85,General,Critical,Arrival,T2,46,69.95,23.95,27,6,Loader,41.1,93.69,63,79.71,0,Rain,4197.3,555.87,37.54,0,56.17,64.95,Adaptive,Low Efficiency
541,2024-08-15 03:50:00,FL9748,114.72,Perishable,Critical,Arrival,T2,2,73.95,16.81,28,14,Crane,65.68,57.02,43,11.86,0,Rain,2630.2,163.55,72.72,0,33.82,87.79,Baseline,Low Efficiency
542,2024-09-30 06:57:00,FL8361,74.71,Perishable,Low,Arrival,T4,2,46.49,5.14,22,12,Crane,56.39,30.61,19,0.32,0,Rain,4232.35,269.53,13.9,1,139.5,124.89,Baseline,Low Efficiency
543,2024-10-15 20:02:00,FL1268,31.29,Perishable,Low,Arrival,T3,3,73.8,28.74,8,6,Forklift,93.71,80.48,10,1.41,1,Storm,4795.93,456.22,42.52,0,107.56,83.85,Optimized,Low Efficiency
544,2024-05-24 10:03:00,FL1606,82.25,Express,High,Arrival,T2,29,113.74,52.3,19,12,Crane,92.03,66.19,56,18.91,1,Fog,3746.69,350.63,85.76,1,94.69,71.23,Baseline,Low Efficiency
545,2024-02-25 08:08:00,FL6558,76.08,Express,Medium,Arrival,T3,8,103.24,33.02,16,8,Crane,90.27,84.19,60,10.24,0,Storm,1038.72,302.68,60.31,1,122.92,28.5,Baseline,Low Efficiency
546,2024-06-25 20:06:00,FL1918,46.19,Express,Low,Departure,T3,11,71.11,40.53,7,13,Crane,92.04,69.92,43,49.85,0,Rain,2575.69,467.0,90.32,1,82.22,88.31,Adaptive,Moderate Efficiency
547,2024-03-15 04:51:00,FL6533,18.06,Express,High,Departure,T2,12,139.89,49.9,36,5,Forklift,57.86,54.59,48,40.36,0,Rain,4355.19,1131.65,27.1,0,36.71,23.87,Optimized,Low Efficiency
548,2024-08-07 14:32:00,FL1701,82.23,Hazardous,Low,Departure,T2,32,134.37,40.45,40,5,Crane,65.57,34.66,40,54.54,1,Clear,2712.39,722.21,118.69,1,31.6,24.68,Optimized,Low Efficiency
549,2024-03-29 03:35:00,FL7643,64.84,General,Critical,Arrival,T1,4,64.91,88.33,25,1,Loader,58.7,90.62,34,17.34,1,Rain,4148.27,1028.48,59.03,1,83.17,73.17,Optimized,Low Efficiency
550,2024-01-30 21:44:00,FL2936,93.82,Express,Low,Arrival,T4,9,71.72,61.55,10,1,Loader,45.16,44.5,1,67.85,0,Fog,3991.53,1400.27,69.27,1,122.77,82.72,Adaptive,Low Efficiency
551,2024-09-09 19:49:00,FL4468,64.82,Hazardous,Low,Departure,T2,24,66.0,7.22,6,6,Forklift,95.44,97.99,19,54.94,0,Storm,1219.3,101.9,38.33,0,41.03,114.51,Baseline,Low Efficiency
552,2024-11-07 22:26:00,FL9570,103.0,General,Low,Departure,T1,49,40.62,31.07,13,10,Crane,76.96,47.21,1,19.91,0,Fog,1982.7,1431.75,47.31,0,108.69,73.91,Optimized,Low Efficiency
553,2024-09-26 20:11:00,FL8509,68.47,Express,Critical,Departure,T4,16,140.45,86.61,16,10,Conveyor,47.95,87.89,88,35.9,0,Storm,3937.6,490.8,82.0,1,44.97,97.0,Optimized,Low Efficiency
554,2024-02-20 05:06:00,FL9791,69.51,General,High,Departure,T2,17,27.4,39.61,48,5,Conveyor,52.36,85.21,25,64.64,0,Clear,1216.3,502.51,47.59,0,70.6,138.77,Optimized,Low Efficiency
555,2024-09-05 11:26:00,FL3440,105.82,Express,High,Arrival,T3,47,44.09,110.82,28,11,Loader,67.05,62.39,68,61.23,1,Clear,2402.55,981.17,89.04,0,18.56,141.6,Optimized,Low Efficiency
556,2024-01-10 05:06:00,FL4817,51.4,Hazardous,Medium,Departure,T4,22,36.85,86.96,18,10,Loader,43.11,58.12,88,50.61,1,Fog,1118.1,605.2,41.44,0,80.45,46.95,Adaptive,Low Efficiency
557,2024-11-01 21:03:00,FL2180,20.41,Perishable,Medium,Arrival,T3,7,152.05,38.34,45,6,Conveyor,56.32,79.23,84,88.11,1,Clear,1560.67,212.64,94.2,0,33.7,73.86,Baseline,Low Efficiency
558,2024-12-22 22:53:00,FL1604,8.31,Perishable,Low,Arrival,T1,10,27.04,64.39,16,9,Forklift,82.21,67.0,97,11.86,1,Storm,1785.29,1096.03,84.25,1,128.2,84.36,Optimized,Moderate Efficiency
559,2024-03-17 20:25:00,FL3319,91.84,General,Medium,Arrival,T2,29,126.34,81.73,31,8,Crane,95.22,74.24,28,43.95,1,Clear,2886.19,356.46,33.33,0,144.03,72.58,Baseline,Low Efficiency
560,2024-11-11 16:22:00,FL9010,76.34,Hazardous,Medium,Departure,T1,36,27.12,27.24,14,7,Conveyor,95.72,62.92,45,56.16,0,Storm,4603.57,1401.12,15.5,1,21.74,144.87,Baseline,Low Efficiency
561,2024-09-20 17:41:00,FL1312,85.97,Perishable,High,Departure,T2,24,145.83,33.31,47,7,Crane,71.2,69.0,99,89.46,0,Storm,2235.01,1483.01,112.32,0,84.73,50.65,Adaptive,Low Efficiency
562,2024-11-30 18:31:00,FL8720,29.49,Express,Low,Departure,T2,46,166.03,63.32,6,6,Conveyor,58.73,43.24,24,48.83,0,Fog,4324.85,353.71,35.87,0,108.58,82.69,Adaptive,Low Efficiency
563,2024-04-21 09:42:00,FL1750,20.68,Perishable,Critical,Arrival,T3,14,97.89,111.36,35,6,Loader,95.24,33.88,44,39.81,0,Storm,3628.3,1155.16,73.49,0,19.15,27.6,Optimized,Low Efficiency
564,2024-11-13 02:41:00,FL4976,6.67,General,Low,Arrival,T1,14,148.73,44.56,32,1,Crane,87.2,54.91,2,83.01,1,Clear,4012.04,1488.55,42.76,0,87.51,98.18,Optimized,Low Efficiency
565,2024-05-08 06:12:00,FL3138,45.32,General,Critical,Departure,T3,25,133.03,51.24,20,12,Forklift,75.23,62.61,23,45.57,0,Fog,3929.93,1437.43,82.4,1,141.14,55.94,Optimized,Low Efficiency
566,2024-07-15 16:01:00,FL1235,72.84,Hazardous,Low,Arrival,T3,46,147.3,26.92,5,7,Crane,90.07,93.42,97,84.53,1,Storm,1859.53,890.88,87.14,1,83.71,122.78,Adaptive,Low Efficiency
567,2024-12-18 01:43:00,FL3822,50.11,General,Medium,Departure,T3,22,142.68,73.22,26,5,Crane,67.53,58.98,78,67.54,1,Storm,1563.13,536.84,18.17,1,96.94,28.25,Adaptive,Low Efficiency
568,2024-12-04 12:15:00,FL1818,55.31,Perishable,Medium,Arrival,T1,47,52.86,90.12,5,7,Conveyor,46.73,60.37,62,15.11,0,Storm,4899.12,116.33,15.5,0,55.86,133.17,Baseline,Low Efficiency
569,2024-11-13 04:12:00,FL6035,108.98,Perishable,Medium,Arrival,T2,23,99.93,55.67,35,6,Forklift,96.29,77.24,15,15.07,0,Fog,3820.22,1357.53,118.98,0,96.12,70.21,Baseline,Moderate Efficiency
570,2024-07-14 10:33:00,FL2594,45.05,Perishable,Medium,Arrival,T2,32,173.67,91.28,26,8,Loader,72.04,44.48,32,28.62,1,Storm,2146.0,149.83,94.48,0,134.32,67.02,Baseline,Low Efficiency
571,2024-08-22 16:40:00,FL8474,64.11,Perishable,Medium,Arrival,T1,26,74.97,39.8,38,3,Crane,81.72,91.01,87,6.09,0,Fog,2994.72,906.99,38.77,1,56.11,116.88,Adaptive,Low Efficiency
